name,modelfile,evidencefile,orderfile,num_evid,width,depth,logSS,num_vars,avg_states,max_states,num_factors,avg_scope,max_scope,sparsity,sparsity_std,values_std,MPE,MPLP,PR,LBP
BN_0,BN_0.uai,BN_0.uai.evid,BN_0.uai.ord,26,14,21,4.14,100,2.0,2,100,1.9,6,0.11,0.21,13.04,-19.588861,,-8.893083,
BN_1,BN_1.uai,BN_1.uai.evid,BN_1.uai.ord,18,19,32,5.81,100,2.0,2,100,2.4,6,0.08,0.18,9.79,-17.743571,,-6.177222,
BN_2,BN_2.uai,BN_2.uai.evid,BN_2.uai.ord,22,21,30,6.49,100,2.0,2,100,2.32,7,0.09,0.19,11.22,-18.726557,,-7.520365,
BN_3,BN_3.uai,BN_3.uai.evid,BN_3.uai.ord,36,15,22,4.5,100,2.0,2,100,1.86,5,0.14,0.22,16.13,-20.826661,,-12.55972,
BN_4,BN_4.uai,BN_4.uai.evid,BN_4.uai.ord,51,12,17,3.57,100,2.0,2,100,1.71,5,0.19,0.24,22.4,-23.930063,,-17.44513,
BN_5,BN_5.uai,BN_5.uai.evid,BN_5.uai.ord,55,15,23,4.49,125,2.0,2,125,1.72,5,0.16,0.23,19.33,-28.572273,,-18.736089,
BN_6,BN_6.uai,BN_6.uai.evid,BN_6.uai.ord,71,13,21,4.0,125,2.0,2,125,1.67,6,0.21,0.25,24.63,-32.110898,,-25.367752,
BN_7,BN_7.uai,BN_7.uai.evid,BN_7.uai.ord,30,18,24,5.31,95,2.0,2,95,2.15,6,0.13,0.22,15.1,-15.790674,,-7.01634,
BN_8,BN_8.uai,BN_8.uai.evid,BN_8.uai.ord,9,23,34,7.22,100,2.0,2,100,2.67,8,0.04,0.14,5.35,-16.152805,,-2.389771,
BN_9,BN_9.uai,BN_9.uai.evid,BN_9.uai.ord,13,23,33,6.79,105,2.0,2,105,2.44,7,0.06,0.16,6.97,-16.870561,,-3.566225,
BN_10,BN_10.uai,BN_10.uai.evid,BN_10.uai.ord,17,15,22,4.62,85,2.0,2,85,2.12,5,0.09,0.19,10.58,-15.078795,,-5.204781,
BN_11,BN_11.uai,BN_11.uai.evid,BN_11.uai.ord,46,18,25,5.38,105,2.0,2,105,1.9,7,0.17,0.24,20.0,-25.411855,,-17.098948,
BN_12,BN_12.uai,BN_12.uai.evid,BN_12.uai.ord,11,27,37,8.02,90,2.0,2,90,2.8,7,0.06,0.16,6.89,-15.122397,,-3.609078,
BN_13,BN_13.uai,BN_13.uai.evid,BN_13.uai.ord,9,31,41,9.22,125,2.0,2,125,2.69,8,0.03,0.13,4.49,-19.705185,,-2.320382,
BN_14,BN_14.uai,BN_14.uai.evid,BN_14.uai.ord,30,22,30,6.46,115,2.0,2,115,2.11,6,0.11,0.21,13.03,-20.907177,,-9.015125,
BN_15,BN_15.uai,BN_15.uai.evid,BN_15.uai.ord,19,30,40,9.03,120,2.0,2,120,2.64,7,0.07,0.17,8.52,-20.326022,,-5.701806,
BN_16,BN_16.uai,BN_16.uai.evid,BN_16.uai.ord,100,45,98,13.35,2127,2.05,6,2127,2.53,5,0.09,0.18,16.93,-0.847975,,,
BN_17,BN_17.uai,BN_17.uai.evid,BN_17.uai.ord,100,45,100,13.35,2127,2.05,6,2127,2.53,5,0.09,0.18,16.93,-0.847975,,,
BN_18,BN_18.uai,BN_18.uai.evid,BN_18.uai.ord,100,46,94,13.79,2127,2.05,6,2127,2.53,5,0.09,0.18,16.79,-0.847975,,,
BN_19,BN_19.uai,BN_19.uai.evid,BN_19.uai.ord,100,47,103,13.96,2127,2.05,6,2127,2.53,5,0.09,0.18,16.79,-0.847975,,,
BN_20,BN_20.uai,BN_20.uai.evid,BN_20.uai.ord,407,6,517,7.38,2843,18.92,91,2843,2.5,4,0.56,0.41,24.91,-543.505141,,-411.618401,
BN_21,BN_21.uai,BN_21.uai.evid,BN_21.uai.ord,407,6,501,7.4,2843,18.92,91,2843,2.5,4,0.56,0.41,24.91,-543.505141,,-411.618401,
BN_22,BN_22.uai,BN_22.uai.evid,BN_22.uai.ord,304,4,498,5.94,2425,18.74,91,2425,2.44,4,0.57,0.43,22.01,-434.61957,,-304.142498,
BN_23,BN_23.uai,BN_23.uai.evid,BN_23.uai.ord,304,4,518,5.93,2425,18.74,91,2425,2.44,4,0.57,0.43,22.01,-434.61957,,-304.142498,
BN_24,BN_24.uai,BN_24.uai.evid,BN_24.uai.ord,304,4,549,5.93,1819,20.99,91,1819,2.57,4,0.53,0.38,28.58,-418.588259,,-297.702777,
BN_25,BN_25.uai,BN_25.uai.evid,BN_25.uai.ord,304,4,564,5.93,1819,20.99,91,1819,2.57,4,0.53,0.38,28.58,-418.588259,,-297.702777,
BN_26,BN_26.uai,BN_26.uai.evid,BN_26.uai.ord,1010,10,694,6.23,3025,6.0,10,3025,2.49,7,0.23,0.39,8.73,-2045.578719,,-973.985656,
BN_27,BN_27.uai,BN_27.uai.evid,BN_27.uai.ord,1010,9,973,6.22,3025,6.0,10,3025,2.49,7,0.23,0.39,8.73,-2045.578719,,-973.985656,
BN_28,BN_28.uai,BN_28.uai.evid,BN_28.uai.ord,8,5,6,4.56,24,10.0,10,24,1.69,6,0.23,0.39,9.37,-18.354871,,-8.417356,
BN_29,BN_29.uai,BN_29.uai.evid,BN_29.uai.ord,8,5,7,4.56,24,10.0,10,24,1.69,6,0.23,0.39,9.37,-18.354871,,-8.417356,
BN_30,BN_30.uai,BN_30.uai.evid,BN_30.uai.ord,120,36,159,10.92,1156,2.0,2,1156,2.49,3,0.44,0.16,51.55,-21.245763,,,
