name,modelfile,evidencefile,orderfile,num_evid,width,depth,logSS,num_vars,avg_states,max_states,num_factors,avg_scope,max_scope,sparsity,sparsity_std,values_std,MPE,MPLP,PR,LBP
1401.wcsp,1401.wcsp.uai,1401.wcsp.uai.evid,1401.wcsp.uai.ord,0,252,324,117.26,488,2.87,4,10963,2.22,3,0.0,0.0,2.73,,,,
1403.wcsp,1403.wcsp.uai,1403.wcsp.uai.evid,1403.wcsp.uai.ord,0,257,324,119.08,665,2.98,4,13616,2.24,3,0.0,0.0,2.68,,,,
1405.wcsp,1405.wcsp.uai,1405.wcsp.uai.evid,1405.wcsp.uai.ord,0,257,330,120.17,855,3.12,4,18258,2.21,3,0.0,0.0,2.77,,,,
1407.wcsp,1407.wcsp.uai,1407.wcsp.uai.evid,1407.wcsp.uai.ord,0,264,326,122.88,1057,3.23,4,21786,2.22,3,0.0,0.0,2.75,,,,
1502.wcsp,1502.wcsp.uai,1502.wcsp.uai.evid,1502.wcsp.uai.ord,0,5,13,3.22,209,2.98,4,411,1.56,3,0.0,0.0,1.54,-1.257475,,78.35562,
1504.wcsp,1504.wcsp.uai,1504.wcsp.uai.evid,1504.wcsp.uai.ord,0,21,81,11.43,605,3.07,4,4187,2.07,3,0.0,0.0,2.57,,,,
1506.wcsp,1506.wcsp.uai,1506.wcsp.uai.evid,1506.wcsp.uai.ord,0,208,274,93.64,940,3.19,4,15240,2.25,3,0.0,0.0,2.61,,,,
28.wcsp,28.wcsp.uai,28.wcsp.uai.evid,28.wcsp.uai.ord,0,147,178,59.79,230,2.5,4,5226,2.07,3,0.0,0.0,3.23,,,,
29.wcsp,29.wcsp.uai,29.wcsp.uai.evid,29.wcsp.uai.ord,0,16,23,6.7,82,2.46,4,462,1.82,2,0.0,0.0,3.05,-1.60442,,13.562997,
404.wcsp,404.wcsp.uai,404.wcsp.uai.evid,404.wcsp.uai.ord,0,19,54,6.67,100,2.58,4,710,1.88,3,0.0,0.0,3.32,-2.780488,,15.303732,
408.wcsp,408.wcsp.uai,408.wcsp.uai.evid,408.wcsp.uai.ord,0,41,86,15.86,200,2.64,4,2232,2.08,3,0.0,0.0,3.18,,,,
412.wcsp,412.wcsp.uai,412.wcsp.uai.evid,412.wcsp.uai.ord,0,204,243,87.42,300,2.81,4,4348,2.02,3,0.0,0.0,3.38,,,,
414.wcsp,414.wcsp.uai,414.wcsp.uai.evid,414.wcsp.uai.ord,0,231,268,104.65,364,2.9,4,10108,2.43,3,0.0,0.0,2.6,,,,
42.wcsp,42.wcsp.uai,42.wcsp.uai.evid,42.wcsp.uai.ord,0,26,62,13.38,190,2.6,4,1394,1.91,3,0.0,0.0,2.93,-2.357117,,,
5.wcsp,5.wcsp.uai,5.wcsp.uai.evid,5.wcsp.uai.ord,0,123,134,73.58,309,3.62,4,5621,2.01,3,0.0,0.0,3.3,,,,
503.wcsp,503.wcsp.uai,503.wcsp.uai.evid,503.wcsp.uai.ord,0,9,33,4.62,143,2.81,4,635,1.91,3,0.0,0.0,2.68,-2.199505,,34.684446,
505.wcsp,505.wcsp.uai,505.wcsp.uai.evid,505.wcsp.uai.ord,0,24,52,10.69,240,2.87,4,2242,2.13,3,0.0,0.0,2.91,,,,
507.wcsp,507.wcsp.uai,507.wcsp.uai.evid,507.wcsp.uai.ord,0,186,232,80.66,311,2.84,4,5732,2.35,3,0.0,0.0,2.72,,,,
509.wcsp,509.wcsp.uai,509.wcsp.uai.evid,509.wcsp.uai.ord,0,213,242,95.93,348,2.87,4,8624,2.42,3,0.0,0.0,2.63,,,,
54.wcsp,54.wcsp.uai,54.wcsp.uai.evid,54.wcsp.uai.ord,0,11,17,5.13,67,2.87,4,271,1.84,3,0.0,0.0,2.7,-1.37037,,16.453572,
CELAR6-SUB0.wcsp,CELAR6-SUB0.wcsp.uai,CELAR6-SUB0.wcsp.uai.evid,CELAR6-SUB0.wcsp.uai.ord,0,7,11,10.74,16,40.0,44,207,2.0,2,0.0,0.0,0.77,-0.636,,,
CELAR6-SUB1.wcsp,CELAR6-SUB1.wcsp.uai,CELAR6-SUB1.wcsp.uai.evid,CELAR6-SUB1.wcsp.uai.ord,0,9,10,14.5,14,44.0,44,300,2.0,2,0.0,0.0,0.61,,,,
CELAR6-SUB2.wcsp,CELAR6-SUB2.wcsp.uai,CELAR6-SUB2.wcsp.uai.evid,CELAR6-SUB2.wcsp.uai.ord,0,15,15,23.89,16,43.0,44,353,2.0,2,0.0,0.0,0.55,,,,
CELAR6-SUB3.wcsp,CELAR6-SUB3.wcsp.uai,CELAR6-SUB3.wcsp.uai.evid,CELAR6-SUB3.wcsp.uai.ord,0,13,16,20.61,18,43.11,44,421,2.0,2,0.0,0.0,0.52,,,,
CELAR6-SUB4.wcsp,CELAR6-SUB4.wcsp.uai,CELAR6-SUB4.wcsp.uai.evid,CELAR6-SUB4.wcsp.uai.ord,0,16,19,25.37,22,42.18,44,477,2.0,2,0.0,0.0,0.55,,,,
DSJC125.1.4.wcsp,DSJC125.1.4.wcsp.uai,DSJC125.1.4.wcsp.uai.evid,DSJC125.1.4.wcsp.uai.ord,0,91,114,54.83,125,4.0,4,736,2.0,2,0.0,0.0,3.99,,,,
GEOM30a_3.wcsp,GEOM30a_3.wcsp.uai,GEOM30a_3.wcsp.uai.evid,GEOM30a_3.wcsp.uai.ord,0,6,11,2.78,30,3.0,3,81,2.0,2,0.0,0.0,4.34,-44.0,,-38.396507,
GEOM30a_4.wcsp,GEOM30a_4.wcsp.uai,GEOM30a_4.wcsp.uai.evid,GEOM30a_4.wcsp.uai.ord,0,6,13,3.41,30,4.0,4,81,2.0,2,0.0,0.0,3.99,-16.0,,-7.904103,
GEOM30a_5.wcsp,GEOM30a_5.wcsp.uai,GEOM30a_5.wcsp.uai.evid,GEOM30a_5.wcsp.uai.ord,0,6,14,3.91,30,5.0,5,81,2.0,2,0.0,0.0,3.68,-4.0,,6.870285,
bwt3ac.wcsp,bwt3ac.wcsp.uai,bwt3ac.wcsp.uai.evid,bwt3ac.wcsp.uai.ord,0,16,28,8.12,45,2.91,11,685,1.92,2,0.0,0.0,2.58,-0.561207,,0.030081,
bwt4ac.wcsp,bwt4ac.wcsp.uai,bwt4ac.wcsp.uai.evid,bwt4ac.wcsp.uai.ord,0,132,157,59.1,179,3.26,18,7109,1.97,2,0.0,0.0,2.34,-0.212371,,,
bwt5ac.wcsp,bwt5ac.wcsp.uai,bwt5ac.wcsp.uai.evid,bwt5ac.wcsp.uai.ord,0,365,398,161.86,431,3.39,27,27327,1.98,2,0.0,0.0,2.2,,,,
capmo1.wcsp,capmo1.wcsp.uai,capmo1.wcsp.uai.evid,capmo1.wcsp.uai.ord,0,198,199,227.44,200,51.0,100,10200,1.98,2,0.0,0.0,0.64,,,,
capmo2.wcsp,capmo2.wcsp.uai,capmo2.wcsp.uai.evid,capmo2.wcsp.uai.ord,0,198,199,227.44,200,51.0,100,10200,1.98,2,0.0,0.0,0.64,,,,
capmo3.wcsp,capmo3.wcsp.uai,capmo3.wcsp.uai.evid,capmo3.wcsp.uai.ord,0,198,199,227.44,200,51.0,100,10200,1.98,2,0.0,0.0,0.64,,,,
capmo4.wcsp,capmo4.wcsp.uai,capmo4.wcsp.uai.evid,capmo4.wcsp.uai.ord,0,198,199,227.44,200,51.0,100,10200,1.98,2,0.0,0.0,0.64,,,,
capmo5.wcsp,capmo5.wcsp.uai,capmo5.wcsp.uai.evid,capmo5.wcsp.uai.ord,0,198,199,227.44,200,51.0,100,10200,1.98,2,0.0,0.0,0.64,,,,
capmp1.wcsp,capmp1.wcsp.uai,capmp1.wcsp.uai.evid,capmp1.wcsp.uai.ord,0,398,399,inf,400,101.0,200,40400,1.99,2,0.0,0.0,0.46,,,,
capmp2.wcsp,capmp2.wcsp.uai,capmp2.wcsp.uai.evid,capmp2.wcsp.uai.ord,0,398,399,inf,400,101.0,200,40400,1.99,2,0.0,0.0,0.46,,,,
capmp3.wcsp,capmp3.wcsp.uai,capmp3.wcsp.uai.evid,capmp3.wcsp.uai.ord,0,398,399,inf,400,101.0,200,40400,1.99,2,0.0,0.0,0.46,,,,
capmp4.wcsp,capmp4.wcsp.uai,capmp4.wcsp.uai.evid,capmp4.wcsp.uai.ord,0,398,399,inf,400,101.0,200,40400,1.99,2,0.0,0.0,0.46,,,,
capmp5.wcsp,capmp5.wcsp.uai,capmp5.wcsp.uai.evid,capmp5.wcsp.uai.ord,0,398,399,inf,400,101.0,200,40400,1.99,2,0.0,0.0,0.46,,,,
driverlog01ac.wcsp,driverlog01ac.wcsp.uai,driverlog01ac.wcsp.uai.evid,driverlog01ac.wcsp.uai.ord,0,9,23,4.16,71,2.75,4,618,1.76,2,0.0,0.0,2.33,-0.777457,,4.721257,
driverlog02ac.wcsp,driverlog02ac.wcsp.uai,driverlog02ac.wcsp.uai.evid,driverlog02ac.wcsp.uai.ord,0,219,275,118.72,301,3.86,8,19161,1.92,2,0.0,0.0,1.87,,,,
driverlog04ac.wcsp,driverlog04ac.wcsp.uai,driverlog04ac.wcsp.uai.evid,driverlog04ac.wcsp.uai.ord,0,188,238,106.09,272,3.77,11,18591,1.93,2,0.0,0.0,1.83,,,,
driverlog05ac.wcsp,driverlog05ac.wcsp.uai,driverlog05ac.wcsp.uai.evid,driverlog05ac.wcsp.uai.ord,0,270,325,152.34,351,3.87,11,30038,1.94,2,0.0,0.0,1.87,,,,
driverlog08ac.wcsp,driverlog08ac.wcsp.uai,driverlog08ac.wcsp.uai.evid,driverlog08ac.wcsp.uai.ord,0,318,370,180.92,408,3.88,11,47460,1.95,2,0.0,0.0,1.9,,,,
graph05.wcsp,graph05.wcsp.uai,graph05.wcsp.uai.evid,graph05.wcsp.uai.ord,0,60,82,91.81,100,37.08,44,1034,2.0,2,0.0,0.0,0.9,-0.884,,,
graph06.wcsp,graph06.wcsp.uai,graph06.wcsp.uai.evid,graph06.wcsp.uai.ord,0,112,148,170.62,200,37.71,44,1970,2.0,2,0.0,0.0,0.98,,,,
graph11.wcsp,graph11.wcsp.uai,graph11.wcsp.uai.evid,graph11.wcsp.uai.ord,0,208,255,inf,340,37.71,44,3417,2.0,2,0.0,0.0,0.98,,,,
graph13.wcsp,graph13.wcsp.uai,graph13.wcsp.uai.evid,graph13.wcsp.uai.ord,0,248,331,inf,458,38.4,44,4815,2.0,2,0.0,0.0,0.99,,,,
le450_5a_2.wcsp,le450_5a_2.wcsp.uai,le450_5a_2.wcsp.uai.evid,le450_5a_2.wcsp.uai.ord,0,377,426,113.54,450,2.0,2,5714,2.0,2,0.0,0.0,4.61,,,,
le450_5a_3.wcsp,le450_5a_3.wcsp.uai,le450_5a_3.wcsp.uai.evid,le450_5a_3.wcsp.uai.ord,0,377,426,179.72,450,3.0,3,5714,2.0,2,0.0,0.0,4.34,,,,
le450_5a_4.wcsp,le450_5a_4.wcsp.uai,le450_5a_4.wcsp.uai.evid,le450_5a_4.wcsp.uai.ord,0,377,426,226.72,450,4.0,4,5714,2.0,2,0.0,0.0,3.99,,,,
myciel5g_3.wcsp,myciel5g_3.wcsp.uai,myciel5g_3.wcsp.uai.evid,myciel5g_3.wcsp.uai.ord,0,19,25,9.02,47,3.0,3,236,2.0,2,0.0,0.0,4.34,-64.0,,-61.216923,
myciel5g_4.wcsp,myciel5g_4.wcsp.uai,myciel5g_4.wcsp.uai.evid,myciel5g_4.wcsp.uai.ord,0,19,25,11.33,47,4.0,4,236,2.0,2,0.0,0.0,3.99,-16.0,,-8.051659,
myciel5g_5.wcsp,myciel5g_5.wcsp.uai,myciel5g_5.wcsp.uai.evid,myciel5g_5.wcsp.uai.ord,0,19,25,13.14,47,5.0,5,236,2.0,2,0.0,0.0,3.68,,,,
queen5_5_3.wcsp,queen5_5_3.wcsp.uai,queen5_5_3.wcsp.uai.evid,queen5_5_3.wcsp.uai.ord,0,18,21,8.28,25,3.0,3,160,2.0,2,0.0,0.0,4.34,-116.0,,-113.027852,
queen5_5_4.wcsp,queen5_5_4.wcsp.uai,queen5_5_4.wcsp.uai.evid,queen5_5_4.wcsp.uai.ord,0,18,20,10.45,25,4.0,4,160,2.0,2,0.0,0.0,3.99,-48.0,,-45.71492,
rovers02ac.wcsp,rovers02ac.wcsp.uai,rovers02ac.wcsp.uai.evid,rovers02ac.wcsp.uai.ord,0,109,129,50.11,152,3.4,24,5301,1.95,2,0.0,0.0,2.07,,,,
satellite01ac.wcsp,satellite01ac.wcsp.uai,satellite01ac.wcsp.uai.evid,satellite01ac.wcsp.uai.ord,0,22,54,14.15,79,5.2,8,7977,1.87,2,0.0,0.0,1.21,-0.075756,,,
satellite02ac.wcsp,satellite02ac.wcsp.uai,satellite02ac.wcsp.uai.evid,satellite02ac.wcsp.uai.ord,0,142,166,97.67,182,5.66,9,28420,1.9,2,0.0,0.0,1.18,,,,
