name,modelfile,evidencefile,orderfile,num_evid,width,depth,logSS,num_vars,avg_states,max_states,num_factors,avg_scope,max_scope,sparsity,sparsity_std,values_std,MPE,MPLP,PR,LBP
rus_100_200_1_1,rus_100_200_1_1.uai,rus_100_200_1_1.uai.evid,rus_100_200_1_1.uai.ord,784,110,111,34.52,1094,2.0,2,100710,1.22,2,0.0,0.04,0.71,,,,
rus_100_200_2_1,rus_100_200_2_1.uai,rus_100_200_2_1.uai.evid,rus_100_200_2_1.uai.ord,784,110,111,34.52,1094,2.0,2,100710,1.22,2,0.0,0.04,0.71,,,,
rus_100_200_3_1,rus_100_200_3_1.uai,rus_100_200_3_1.uai.evid,rus_100_200_3_1.uai.ord,784,110,111,34.52,1094,2.0,2,100710,1.22,2,0.0,0.04,0.71,,,,
rus_100_200_3_3,rus_100_200_3_3.uai,rus_100_200_3_3.uai.evid,rus_100_200_3_3.uai.ord,784,110,111,34.52,1094,2.0,2,100710,1.22,2,0.0,0.04,0.71,,,,
rus_100_200_4_3,rus_100_200_4_3.uai,rus_100_200_4_3.uai.evid,rus_100_200_4_3.uai.ord,784,110,111,34.52,1094,2.0,2,100710,1.22,2,0.0,0.04,0.71,,,,
rus_100_200_5_3,rus_100_200_5_3.uai,rus_100_200_5_3.uai.evid,rus_100_200_5_3.uai.ord,784,110,111,34.52,1094,2.0,2,100710,1.22,2,0.0,0.04,0.71,,,,
rus_100_200_6_1,rus_100_200_6_1.uai,rus_100_200_6_1.uai.evid,rus_100_200_6_1.uai.ord,784,110,111,34.52,1094,2.0,2,100710,1.22,2,0.0,0.04,0.71,,,,
rus_100_200_7_1,rus_100_200_7_1.uai,rus_100_200_7_1.uai.evid,rus_100_200_7_1.uai.ord,784,110,111,34.52,1094,2.0,2,100710,1.22,2,0.0,0.04,0.71,,,,
rus_20_40_0_1,rus_20_40_0_1.uai,rus_20_40_0_1.uai.evid,rus_20_40_0_1.uai.ord,784,30,31,9.75,854,2.0,2,16950,1.07,2,0.02,0.11,3.19,616.788086,,1407.240215,
rus_20_40_0_2,rus_20_40_0_2.uai,rus_20_40_0_2.uai.evid,rus_20_40_0_2.uai.ord,784,30,31,9.75,854,2.0,2,16950,1.07,2,0.02,0.11,3.19,791.27966,,1407.240215,
rus_20_40_0_3,rus_20_40_0_3.uai,rus_20_40_0_3.uai.evid,rus_20_40_0_3.uai.ord,784,30,31,9.75,854,2.0,2,16950,1.07,2,0.02,0.11,3.19,902.571816,,1407.240215,
