name,modelfile,evidencefile,orderfile,num_evid,width,depth,logSS,num_vars,avg_states,max_states,num_factors,avg_scope,max_scope,sparsity,sparsity_std,values_std,MPE,MPLP,PR,LBP
grid10x10.f10,grid10x10.f10.uai,grid10x10.f10.uai.evid,grid10x10.f10.uai.ord,0,12,32,3.71,100,2.0,2,280,1.64,2,0.0,0.0,3.42,302.192902,,303.085957,
grid10x10.f10.wrap,grid10x10.f10.wrap.uai,grid10x10.f10.wrap.uai.evid,grid10x10.f10.wrap.uai.ord,0,21,32,6.22,100,2.0,2,300,1.67,2,0.0,0.0,3.37,332.90768,,333.321335,
grid10x10.f15.wrap,grid10x10.f15.wrap.uai,grid10x10.f15.wrap.uai.evid,grid10x10.f15.wrap.uai.ord,0,21,32,6.22,100,2.0,2,300,1.67,2,0.0,0.0,4.97,497.355112,,497.763483,
grid10x10.f5.wrap,grid10x10.f5.wrap.uai,grid10x10.f5.wrap.uai.evid,grid10x10.f5.wrap.uai.ord,0,21,32,6.22,100,2.0,2,300,1.67,2,0.0,0.0,1.76,168.460566,,169.408361,
grid20x20.f10,grid20x20.f10.uai,grid20x20.f10.uai.evid,grid20x20.f10.uai.ord,0,26,66,7.84,400,2.0,2,1160,1.66,2,0.0,0.0,3.39,1309.721293,,1311.983857,
grid20x20.f10.wrap,grid20x20.f10.wrap.uai,grid20x20.f10.wrap.uai.evid,grid20x20.f10.wrap.uai.ord,0,46,73,13.58,400,2.0,2,1200,1.67,2,0.0,0.0,3.35,1325.038005,,,
grid20x20.f15,grid20x20.f15.uai,grid20x20.f15.uai.evid,grid20x20.f15.uai.ord,0,26,66,7.84,400,2.0,2,1160,1.66,2,0.0,0.0,5.01,1961.84532,,1962.977036,
grid20x20.f15.wrap,grid20x20.f15.wrap.uai,grid20x20.f15.wrap.uai.evid,grid20x20.f15.wrap.uai.ord,0,46,73,13.58,400,2.0,2,1200,1.67,2,0.0,0.0,4.95,1981.75998,,,
grid20x20.f2,grid20x20.f2.uai,grid20x20.f2.uai.evid,grid20x20.f2.uai.ord,0,26,66,7.84,400,2.0,2,1160,1.66,2,0.0,0.0,0.82,275.972859,,291.732653,
grid20x20.f5,grid20x20.f5.uai,grid20x20.f5.uai.evid,grid20x20.f5.uai.ord,0,26,66,7.84,400,2.0,2,1160,1.66,2,0.0,0.0,1.78,660.849177,,665.116467,
grid20x20.f5.wrap,grid20x20.f5.wrap.uai,grid20x20.f5.wrap.uai.evid,grid20x20.f5.wrap.uai.ord,0,46,73,13.58,400,2.0,2,1200,1.67,2,0.0,0.0,1.76,669.970751,,,
grid40x40.f10,grid40x40.f10.uai,grid40x40.f10.uai.evid,grid40x40.f10.uai.ord,0,54,154,16.1,1600,2.0,2,4720,1.66,2,0.0,0.0,3.48,,,,
grid40x40.f10.wrap,grid40x40.f10.wrap.uai,grid40x40.f10.wrap.uai.evid,grid40x40.f10.wrap.uai.ord,0,113,162,33.77,1600,2.0,2,4800,1.67,2,0.0,0.0,3.56,,,,
grid40x40.f15,grid40x40.f15.uai,grid40x40.f15.uai.evid,grid40x40.f15.uai.ord,0,54,154,16.1,1600,2.0,2,4720,1.66,2,0.0,0.0,5.13,,,,
grid40x40.f15.wrap,grid40x40.f15.wrap.uai,grid40x40.f15.wrap.uai.evid,grid40x40.f15.wrap.uai.ord,0,113,162,33.77,1600,2.0,2,4800,1.67,2,0.0,0.0,5.26,,,,
grid40x40.f2,grid40x40.f2.uai,grid40x40.f2.uai.evid,grid40x40.f2.uai.ord,0,54,154,16.1,1600,2.0,2,4720,1.66,2,0.0,0.0,0.83,,,,
grid40x40.f2.wrap,grid40x40.f2.wrap.uai,grid40x40.f2.wrap.uai.evid,grid40x40.f2.wrap.uai.ord,0,113,162,33.77,1600,2.0,2,4800,1.67,2,0.0,0.0,0.84,,,,
grid40x40.f5,grid40x40.f5.uai,grid40x40.f5.uai.evid,grid40x40.f5.uai.ord,0,54,154,16.1,1600,2.0,2,4720,1.66,2,0.0,0.0,1.82,,,,
grid40x40.f5.wrap,grid40x40.f5.wrap.uai,grid40x40.f5.wrap.uai.evid,grid40x40.f5.wrap.uai.ord,0,113,162,33.77,1600,2.0,2,4800,1.67,2,0.0,0.0,1.85,,,,
grid80x80.f10,grid80x80.f10.uai,grid80x80.f10.uai.evid,grid80x80.f10.uai.ord,0,118,302,35.62,6400,2.0,2,19040,1.66,2,0.0,0.0,3.47,,,,
grid80x80.f10.wrap,grid80x80.f10.wrap.uai,grid80x80.f10.wrap.uai.evid,grid80x80.f10.wrap.uai.ord,0,237,374,71.07,6400,2.0,2,19200,1.67,2,0.0,0.0,3.5,,,,
grid80x80.f15,grid80x80.f15.uai,grid80x80.f15.uai.evid,grid80x80.f15.uai.ord,0,118,302,35.62,6400,2.0,2,19040,1.66,2,0.0,0.0,5.13,,,,
grid80x80.f15.wrap,grid80x80.f15.wrap.uai,grid80x80.f15.wrap.uai.evid,grid80x80.f15.wrap.uai.ord,0,237,374,71.07,6400,2.0,2,19200,1.67,2,0.0,0.0,5.18,,,,
grid80x80.f2,grid80x80.f2.uai,grid80x80.f2.uai.evid,grid80x80.f2.uai.ord,0,118,302,35.62,6400,2.0,2,19040,1.66,2,0.0,0.0,0.84,,,,
grid80x80.f2.wrap,grid80x80.f2.wrap.uai,grid80x80.f2.wrap.uai.evid,grid80x80.f2.wrap.uai.ord,0,237,374,71.07,6400,2.0,2,19200,1.67,2,0.0,0.0,0.84,,,,
grid80x80.f5,grid80x80.f5.uai,grid80x80.f5.uai.evid,grid80x80.f5.uai.ord,0,118,302,35.62,6400,2.0,2,19040,1.66,2,0.0,0.0,1.84,,,,
