name,modelfile,evidencefile,orderfile,num_evid,width,depth,logSS,num_vars,avg_states,max_states,num_factors,avg_scope,max_scope,sparsity,sparsity_std,values_std,MPE,MPLP,PR,LBP
deer_rescaled_0034.K10.F100.model,deer_rescaled_0034.K10.F100.model.uai,deer_rescaled_0034.K10.F100.model.uai.evid,deer_rescaled_0034.K10.F100.model.uai.ord,0,59,59,60.88,60,11.0,11,1830,1.97,2,0.17,0.01,34.44,4237.893984,,,
deer_rescaled_0034.K10.F2.model,deer_rescaled_0034.K10.F2.model.uai,deer_rescaled_0034.K10.F2.model.uai.evid,deer_rescaled_0034.K10.F2.model.uai.ord,0,7,25,7.21,60,11.0,11,240,1.75,2,0.15,0.04,40.64,-81.62752,,-49.282561,
deer_rescaled_0034.K15.F1.5.model,deer_rescaled_0034.K15.F1.5.model.uai,deer_rescaled_0034.K15.F1.5.model.uai.evid,deer_rescaled_0034.K15.F1.5.model.uai.ord,0,5,15,6.3,60,16.0,16,210,1.71,2,0.1,0.03,34.45,-80.875233,,-42.003112,
deer_rescaled_0034.K15.F1.75.model,deer_rescaled_0034.K15.F1.75.model.uai,deer_rescaled_0034.K15.F1.75.model.uai.evid,deer_rescaled_0034.K15.F1.75.model.uai.ord,0,6,21,7.27,60,16.0,16,225,1.73,2,0.11,0.03,34.6,-81.225877,,-44.091783,
deer_rescaled_0034.K15.F100.model,deer_rescaled_0034.K15.F100.model.uai,deer_rescaled_0034.K15.F100.model.uai.evid,deer_rescaled_0034.K15.F100.model.uai.ord,0,59,59,70.47,60,16.0,16,1830,1.97,2,0.12,0.01,28.06,6684.994818,,,
deer_rescaled_0034.K20.F1.25.model,deer_rescaled_0034.K20.F1.25.model.uai,deer_rescaled_0034.K20.F1.25.model.uai.evid,deer_rescaled_0034.K20.F1.25.model.uai.ord,0,5,20,6.54,60,21.0,21,195,1.69,2,0.08,0.02,30.54,-79.055024,,-29.708108,
deer_rescaled_0034.K20.F1.5.model,deer_rescaled_0034.K20.F1.5.model.uai,deer_rescaled_0034.K20.F1.5.model.uai.evid,deer_rescaled_0034.K20.F1.5.model.uai.ord,0,5,15,6.88,60,21.0,21,210,1.71,2,0.08,0.02,30.53,-80.875233,,-38.98141,
deer_rescaled_0034.K20.F100.model,deer_rescaled_0034.K20.F100.model.uai,deer_rescaled_0034.K20.F100.model.uai.evid,deer_rescaled_0034.K20.F100.model.uai.ord,0,59,59,77.43,60,21.0,21,1830,1.97,2,0.09,0.01,24.39,9854.221704,,,
deer_rescaled_0294.K10.F1.75.model,deer_rescaled_0294.K10.F1.75.model.uai,deer_rescaled_0294.K10.F1.75.model.uai.evid,deer_rescaled_0294.K10.F1.75.model.uai.ord,0,6,21,6.32,60,11.0,11,225,1.73,2,0.15,0.04,40.26,-104.820898,,-74.880362,
deer_rescaled_0294.K10.F100.model,deer_rescaled_0294.K10.F100.model.uai,deer_rescaled_0294.K10.F100.model.uai.evid,deer_rescaled_0294.K10.F100.model.uai.ord,0,59,59,60.88,60,11.0,11,1830,1.97,2,0.17,0.01,31.14,9020.782273,,,
