name,modelfile,evidencefile,orderfile,num_evid,width,depth,logSS,num_vars,avg_states,max_states,num_factors,avg_scope,max_scope,sparsity,sparsity_std,values_std,MPE,MPLP,PR,LBP
pedigree1,pedigree1.uai,pedigree1.uai.evid,pedigree1.uai.ord,0,16,49,5.54,334,2.08,4,334,2.47,5,0.21,0.28,20.45,-45.581555,,-14.107169,
pedigree7,pedigree7.uai,pedigree7.uai.evid,pedigree7.uai.ord,0,33,121,11.18,1068,1.9,4,1068,2.3,4,0.16,0.25,17.16,-113.888672,,-64.824451,
pedigree9,pedigree9.uai,pedigree9.uai.evid,pedigree9.uai.ord,0,26,139,8.41,1118,2.08,7,1118,2.42,4,0.21,0.29,19.55,-122.90386,,-78.522221,
pedigree13,pedigree13.uai,pedigree13.uai.evid,pedigree13.uai.ord,0,32,138,10.05,1077,1.89,3,1077,2.36,4,0.16,0.24,18.72,-73.374979,,-31.177564,
pedigree18,pedigree18.uai,pedigree18.uai.evid,pedigree18.uai.ord,0,20,103,6.67,1184,1.93,5,1184,2.42,5,0.19,0.27,18.72,-125.25243,,-78.143606,
pedigree19,pedigree19.uai,pedigree19.uai.evid,pedigree19.uai.ord,0,27,112,9.43,793,2.23,5,793,2.5,5,0.22,0.3,20.28,-97.09084,,-59.024896,
pedigree20,pedigree20.uai,pedigree20.uai.evid,pedigree20.uai.ord,0,21,70,7.29,437,2.15,5,437,2.38,4,0.21,0.3,19.13,-53.789605,,-29.63038,
pedigree23,pedigree23.uai,pedigree23.uai.evid,pedigree23.uai.ord,0,24,57,7.53,402,1.95,5,402,2.37,4,0.19,0.29,18.08,-62.391648,,-38.555591,
pedigree25,pedigree25.uai,pedigree25.uai.evid,pedigree25.uai.ord,0,24,69,7.6,1289,1.87,5,1289,2.32,5,0.17,0.26,17.77,-160.842481,,-115.772282,
pedigree30,pedigree30.uai,pedigree30.uai.evid,pedigree30.uai.ord,0,22,96,7.1,1289,1.93,5,1289,2.39,5,0.18,0.27,18.43,-136.950245,,-83.733131,
pedigree31,pedigree31.uai,pedigree31.uai.evid,pedigree31.uai.ord,0,29,105,9.18,1183,2.11,5,1183,2.4,5,0.19,0.27,18.86,-130.461314,,-69.701703,
pedigree33,pedigree33.uai,pedigree33.uai.evid,pedigree33.uai.ord,0,30,91,9.02,798,1.79,4,798,2.56,5,0.19,0.26,20.85,-74.948572,,-54.277747,
pedigree34,pedigree34.uai,pedigree34.uai.evid,pedigree34.uai.ord,0,32,126,10.06,1160,1.9,5,1160,2.31,4,0.16,0.26,17.33,-111.105618,,-64.229236,
pedigree37,pedigree37.uai,pedigree37.uai.evid,pedigree37.uai.ord,0,23,63,10.02,1032,1.77,5,1032,2.4,4,0.18,0.26,18.65,-144.881966,,-116.57977,
pedigree38,pedigree38.uai,pedigree38.uai.evid,pedigree38.uai.ord,0,17,61,9.89,724,1.99,5,724,2.47,4,0.22,0.3,20.36,-87.298759,,-54.248248,
pedigree39,pedigree39.uai,pedigree39.uai.evid,pedigree39.uai.ord,0,21,86,7.12,1272,1.88,5,1272,2.27,4,0.15,0.25,16.2,-155.608025,,-102.199094,
pedigree40,pedigree40.uai,pedigree40.uai.evid,pedigree40.uai.ord,0,29,152,10.24,1030,2.13,7,1030,2.47,5,0.2,0.29,19.18,-130.244098,,-87.884773,
pedigree41,pedigree41.uai,pedigree41.uai.evid,pedigree41.uai.ord,0,31,110,9.8,1062,2.03,5,1062,2.41,5,0.2,0.29,18.53,-120.734622,,-76.038947,
pedigree42,pedigree42.uai,pedigree42.uai.evid,pedigree42.uai.ord,0,24,61,8.24,448,2.17,5,448,2.4,4,0.21,0.29,19.47,-81.759457,,-30.76136,
pedigree44,pedigree44.uai,pedigree44.uai.evid,pedigree44.uai.ord,0,27,84,8.83,811,1.92,4,811,2.52,5,0.2,0.28,20.15,-96.974441,,-63.473484,
pedigree50,pedigree50.uai,pedigree50.uai.evid,pedigree50.uai.ord,0,18,50,10.49,514,2.36,6,514,2.42,4,0.23,0.3,20.72,-61.720601,,-22.879369,
pedigree51,pedigree51.uai,pedigree51.uai.evid,pedigree51.uai.ord,0,35,105,11.29,1152,1.87,5,1152,2.44,4,0.18,0.26,19.22,-109.638658,,,
Family2Dominant.1.5loci,Family2Dominant.1.5loci.uai,Family2Dominant.1.5loci.uai.evid,Family2Dominant.1.5loci.uai.ord,37,19,57,5.79,385,2.06,3,385,2.29,4,0.27,0.27,29.82,-inf,,-17.215494,
Family2Dominant.20.5loci,Family2Dominant.20.5loci.uai,Family2Dominant.20.5loci.uai.evid,Family2Dominant.20.5loci.uai.ord,37,19,61,5.87,385,2.06,3,385,2.29,4,0.28,0.28,29.77,-inf,,-11.455448,
Family2Recessive.15.5loci,Family2Recessive.15.5loci.uai,Family2Recessive.15.5loci.uai.evid,Family2Recessive.15.5loci.uai.ord,37,19,59,5.85,385,2.06,3,385,2.29,4,0.29,0.27,31.42,-inf,,-15.212864,
