name,modelfile,evidencefile,orderfile,num_evid,width,depth,logSS,num_vars,avg_states,max_states,num_factors,avg_scope,max_scope,sparsity,sparsity_std,values_std,MPE,MPLP,PR,LBP
or_chain_1.fg,or_chain_1.fg.uai,or_chain_1.fg.uai.evid,or_chain_1.fg.uai.ord,9,35,84,10.41,673,2.0,2,673,2.23,3,0.26,0.2,36.97,-11.746042,,-10.758974,
or_chain_10.fg,or_chain_10.fg.uai,or_chain_10.fg.uai.evid,or_chain_10.fg.uai.ord,8,18,47,5.76,461,2.0,2,461,2.18,3,0.25,0.21,35.79,-9.30457,,-8.391455,
or_chain_100.fg,or_chain_100.fg.uai,or_chain_100.fg.uai.evid,or_chain_100.fg.uai.ord,15,61,99,18.09,1125,2.0,2,1125,2.18,3,0.24,0.2,35.43,-17.635458,,,
or_chain_101.fg,or_chain_101.fg.uai,or_chain_101.fg.uai.evid,or_chain_101.fg.uai.ord,14,87,123,25.89,1369,2.0,2,1369,2.15,3,0.23,0.2,34.85,-13.812464,,-19.806874,
or_chain_102.fg,or_chain_102.fg.uai,or_chain_102.fg.uai.evid,or_chain_102.fg.uai.ord,11,32,58,9.55,860,2.0,2,860,2.1,3,0.22,0.2,33.42,-11.246283,,-10.044568,
or_chain_103.fg,or_chain_103.fg.uai,or_chain_103.fg.uai.evid,or_chain_103.fg.uai.ord,11,33,76,10.11,646,2.0,2,646,2.34,3,0.28,0.2,39.76,-6.331911,,,
or_chain_104.fg,or_chain_104.fg.uai,or_chain_104.fg.uai.evid,or_chain_104.fg.uai.ord,13,48,92,14.41,998,2.0,2,998,2.2,3,0.24,0.2,36.11,-11.06543,,,
or_chain_105.fg,or_chain_105.fg.uai,or_chain_105.fg.uai.evid,or_chain_105.fg.uai.ord,11,44,87,13.12,1003,2.0,2,1003,2.21,3,0.25,0.2,36.28,-11.01007,,,
or_chain_106.fg,or_chain_106.fg.uai,or_chain_106.fg.uai.evid,or_chain_106.fg.uai.ord,10,31,69,9.43,695,2.0,2,695,2.18,3,0.24,0.2,35.63,-11.249643,,-10.057799,
or_chain_107.fg,or_chain_107.fg.uai,or_chain_107.fg.uai.evid,or_chain_107.fg.uai.ord,11,33,62,9.72,631,2.0,2,631,2.21,3,0.25,0.2,36.38,-12.062938,,-11.566559,
or_chain_108.fg,or_chain_108.fg.uai,or_chain_108.fg.uai.evid,or_chain_108.fg.uai.ord,14,96,137,28.6,1277,2.0,2,1277,2.33,3,0.26,0.19,39.22,-12.199562,,,
or_chain_109.fg,or_chain_109.fg.uai,or_chain_109.fg.uai.evid,or_chain_109.fg.uai.ord,14,52,88,15.41,1092,2.0,2,1092,2.18,3,0.24,0.2,35.65,-13.775675,,,
or_chain_11.fg,or_chain_11.fg.uai,or_chain_11.fg.uai.evid,or_chain_11.fg.uai.ord,15,93,120,27.69,915,2.0,2,915,2.29,3,0.26,0.2,38.29,-12.762584,,,
or_chain_110.fg,or_chain_110.fg.uai,or_chain_110.fg.uai.evid,or_chain_110.fg.uai.ord,13,97,142,28.9,1176,2.0,2,1176,2.28,3,0.26,0.19,38.11,-11.53599,,,
or_chain_111.fg,or_chain_111.fg.uai,or_chain_111.fg.uai.evid,or_chain_111.fg.uai.ord,4,4,26,2.28,200,2.0,2,200,1.98,3,0.19,0.19,30.29,-6.102327,,-5.861811,
or_chain_112.fg,or_chain_112.fg.uai,or_chain_112.fg.uai.evid,or_chain_112.fg.uai.ord,22,102,154,30.58,1587,2.0,2,1587,2.35,3,0.27,0.19,39.77,,,,
or_chain_113.fg,or_chain_113.fg.uai,or_chain_113.fg.uai.evid,or_chain_113.fg.uai.ord,10,44,85,13.02,1426,2.0,2,1426,2.21,3,0.24,0.19,36.25,-12.542312,,,
or_chain_114.fg,or_chain_114.fg.uai,or_chain_114.fg.uai.evid,or_chain_114.fg.uai.ord,9,39,69,11.51,792,2.0,2,792,2.19,3,0.25,0.21,35.76,-7.295849,,,
or_chain_115.fg,or_chain_115.fg.uai,or_chain_115.fg.uai.evid,or_chain_115.fg.uai.ord,12,53,89,15.73,1068,2.0,2,1068,2.22,3,0.25,0.2,36.41,-9.026771,,,
or_chain_116.fg,or_chain_116.fg.uai,or_chain_116.fg.uai.evid,or_chain_116.fg.uai.ord,14,51,86,15.11,1204,2.0,2,1204,2.12,3,0.23,0.2,34.18,-14.028691,,,
or_chain_117.fg,or_chain_117.fg.uai,or_chain_117.fg.uai.evid,or_chain_117.fg.uai.ord,22,147,220,43.98,2052,2.0,2,2052,2.36,3,0.27,0.19,39.93,-24.538854,,,
or_chain_118.fg,or_chain_118.fg.uai,or_chain_118.fg.uai.evid,or_chain_118.fg.uai.ord,14,54,95,16.02,860,2.0,2,860,2.26,3,0.26,0.2,37.64,-10.030907,,,
or_chain_119.fg,or_chain_119.fg.uai,or_chain_119.fg.uai.evid,or_chain_119.fg.uai.ord,18,45,78,13.57,1050,2.0,2,1050,2.13,3,0.23,0.2,34.25,-19.946604,,,
or_chain_12.fg,or_chain_12.fg.uai,or_chain_12.fg.uai.evid,or_chain_12.fg.uai.ord,11,27,56,8.13,468,2.0,2,468,2.28,3,0.27,0.2,38.65,-12.756879,,-12.227415,
or_chain_120.fg,or_chain_120.fg.uai,or_chain_120.fg.uai.evid,or_chain_120.fg.uai.ord,14,85,129,25.29,1526,2.0,2,1526,2.24,3,0.25,0.19,36.97,,,,
or_chain_121.fg,or_chain_121.fg.uai,or_chain_121.fg.uai.evid,or_chain_121.fg.uai.ord,33,136,168,40.64,1721,2.0,2,1721,2.23,3,0.25,0.19,37.13,,,,
