name,modelfile,evidencefile,orderfile,num_evid,width,depth,logSS,num_vars,avg_states,max_states,num_factors,avg_scope,max_scope,sparsity,sparsity_std,values_std,MPE,MPLP,PR,LBP
1a12,1a12.uai,1a12.uai.evid,1a12.uai.ord,0,48,98,62.58,972,18.95,81,3646,1.73,2,0.0,0.02,10.75,,,,
1a1x,1a1x.uai,1a1x.uai.evid,1a1x.uai.ord,0,14,29,15.06,95,19.44,81,371,1.74,2,0.0,0.01,12.65,-64.413695,,,
1a2j,1a2j.uai,1a2j.uai.evid,1a2j.uai.ord,0,14,47,16.27,158,20.31,81,581,1.73,2,0.0,0.02,12.15,-73.442314,,,
1a3c,1a3c.uai,1a3c.uai.evid,1a3c.uai.ord,0,18,36,23.71,144,22.38,81,542,1.73,2,0.0,0.02,10.44,-42.929014,,,
1a44,1a44.uai,1a44.uai.evid,1a44.uai.ord,0,17,41,19.59,161,19.65,81,597,1.73,2,0.0,0.01,12.53,-113.618816,,,
1a62,1a62.uai,1a62.uai.evid,1a62.uai.ord,0,12,29,11.45,105,21.6,81,361,1.71,2,0.0,0.03,11.95,-50.786827,,,
1a6m,1a6m.uai,1a6m.uai.evid,1a6m.uai.ord,0,19,36,20.02,124,24.26,81,521,1.76,2,0.0,0.02,12.75,-65.843002,,,
1a7w,1a7w.uai,1a7w.uai.evid,1a7w.uai.ord,0,6,20,8.06,53,30.08,81,184,1.71,2,0.01,0.03,10.83,-5.880476,,-0.979699,
1a8i,1a8i.uai,1a8i.uai.evid,1a8i.uai.ord,0,67,138,86.89,704,21.99,81,3155,1.78,2,0.0,0.02,11.62,,,,
1a8o,1a8o.uai,1a8o.uai.evid,1a8o.uai.ord,0,10,26,10.25,56,23.39,81,197,1.72,2,0.0,0.01,11.11,-35.719395,,,
1aac,1aac.uai,1aac.uai.evid,1aac.uai.ord,0,12,24,13.53,85,18.41,81,284,1.7,2,0.0,0.01,12.5,-21.648313,,,
1aba,1aba.uai,1aba.uai.evid,1aba.uai.ord,0,8,23,10.07,76,22.24,81,286,1.73,2,0.0,0.02,12.56,-24.070149,,,
1acf,1acf.uai,1acf.uai.evid,1acf.uai.ord,0,9,25,9.61,90,16.18,81,288,1.69,2,0.0,0.01,11.74,-53.015111,,,
1ad2,1ad2.uai,1ad2.uai.evid,1ad2.uai.ord,0,10,30,12.55,177,23.76,81,596,1.7,2,0.0,0.03,11.1,-50.083279,,,
1aho,1aho.uai,1aho.uai.evid,1aho.uai.ord,0,6,15,5.69,54,19.11,81,175,1.69,2,0.0,0.01,11.37,-43.813275,,-39.457967,
1aie,1aie.uai,1aie.uai.evid,1aie.uai.ord,0,6,17,8.17,26,29.42,81,86,1.7,2,0.0,0.01,12.56,-2.013074,,2.842058,
1ail,1ail.uai,1ail.uai.evid,1ail.uai.ord,0,9,26,11.55,62,23.6,81,226,1.73,2,0.01,0.03,11.35,-9.496391,,,
1aiu,1aiu.uai,1aiu.uai.evid,1aiu.uai.ord,0,10,26,10.39,92,20.48,81,308,1.7,2,0.0,0.02,10.78,-18.207409,,,
1ajj,1ajj.uai,1ajj.uai.evid,1ajj.uai.ord,0,5,10,4.45,32,15.59,81,98,1.67,2,0.0,0.01,11.5,-25.407243,,-23.207587,
1akg,1akg.uai,1akg.uai.evid,1akg.uai.ord,0,2,4,1.81,14,5.36,18,25,1.44,2,0.0,0.02,11.6,-1.444086,,-0.950083,
1alu,1alu.uai,1alu.uai.evid,1alu.uai.ord,0,21,47,24.33,144,22.56,81,595,1.76,2,0.0,0.03,10.56,-58.44579,,,
1aly,1aly.uai,1aly.uai.evid,1aly.uai.ord,0,11,34,10.77,122,17.46,81,396,1.69,2,0.0,0.03,11.85,-108.480977,,,
1amf,1amf.uai,1amf.uai.evid,1amf.uai.ord,0,16,38,15.4,181,20.2,81,641,1.72,2,0.0,0.02,11.42,-95.298932,,,
1amx,1amx.uai,1amx.uai.evid,1amx.uai.ord,0,16,37,14.58,137,17.82,81,484,1.72,2,0.0,0.02,12.15,-59.523569,,,
1aqb,1aqb.uai,1aqb.uai.evid,1aqb.uai.ord,0,20,36,21.59,152,20.84,81,587,1.74,2,0.0,0.01,11.99,-104.854473,,,
1at0,1at0.uai,1at0.uai.evid,1at0.uai.ord,0,9,30,9.53,122,18.3,81,371,1.67,2,0.01,0.03,11.97,-45.35102,,,
1atg,1atg.uai,1atg.uai.evid,1atg.uai.ord,0,13,47,11.22,175,17.96,81,628,1.72,2,0.01,0.03,12.1,-121.947748,,,
1b0b,1b0b.uai,1b0b.uai.evid,1b0b.uai.ord,0,11,32,11.06,97,20.66,81,367,1.74,2,0.0,0.02,13.52,-75.447297,,,
1b0y,1b0y.uai,1b0y.uai.evid,1b0y.uai.ord,0,9,22,9.59,60,20.37,81,213,1.72,2,0.0,0.01,12.37,-36.071516,,,
1b25,1b25.uai,1b25.uai.evid,1b25.uai.ord,0,63,192,79.94,1972,21.78,81,8816,1.78,2,0.0,0.02,11.82,,,,
1b2v,1b2v.uai,1b2v.uai.evid,1b2v.uai.ord,0,9,37,8.4,132,9.23,36,384,1.66,2,0.0,0.02,13.14,-61.606486,,-53.392723,
1b43,1b43.uai,1b43.uai.evid,1b43.uai.ord,0,34,91,42.64,582,25.55,81,2438,1.76,2,0.0,0.02,10.92,,,,
1b71,1b71.uai,1b71.uai.evid,1b71.uai.ord,0,13,43,15.19,149,23.7,81,601,1.75,2,0.0,0.02,13.83,-109.543064,,,
1b7d,1b7d.uai,1b7d.uai.evid,1b7d.uai.ord,0,6,17,7.6,50,21.18,81,169,1.7,2,0.0,0.03,11.35,-50.208886,,-45.673544,
1b8e,1b8e.uai,1b8e.uai.evid,1b8e.uai.ord,0,14,28,15.11,133,21.17,81,460,1.71,2,0.0,0.02,11.17,-65.980333,,,
1b9k,1b9k.uai,1b9k.uai.evid,1b9k.uai.ord,0,13,52,15.42,213,19.55,81,789,1.73,2,0.0,0.03,11.85,-137.015539,,,
1bd8,1bd8.uai,1bd8.uai.evid,1bd8.uai.ord,0,11,29,11.88,121,19.49,81,417,1.71,2,0.0,0.03,11.37,-40.575677,,,
1be7,1be7.uai,1be7.uai.evid,1be7.uai.ord,0,7,16,6.26,48,15.83,81,160,1.7,2,0.0,0.01,11.63,-18.978231,,-15.491066,
1bea,1bea.uai,1bea.uai.evid,1bea.uai.ord,0,12,23,12.39,95,17.03,81,337,1.72,2,0.0,0.02,9.88,-63.6787,,,
1bfg,1bfg.uai,1bfg.uai.evid,1bfg.uai.ord,0,22,35,27.41,108,25.23,81,460,1.77,2,0.0,0.03,12.39,-51.354708,,,
1bgc,1bgc.uai,1bgc.uai.evid,1bgc.uai.ord,0,14,42,14.94,130,18.38,81,488,1.73,2,0.01,0.04,11.87,-45.919193,,,
1bgf,1bgf.uai,1bgf.uai.evid,1bgf.uai.ord,0,15,37,15.96,112,22.12,81,473,1.76,2,0.0,0.03,10.76,-48.286997,,,
1bhp,1bhp.uai,1bhp.uai.evid,1bhp.uai.ord,0,6,14,7.26,39,26.03,81,131,1.7,2,0.01,0.03,10.14,-22.945168,,-18.57296,
1bkb,1bkb.uai,1bkb.uai.evid,1bkb.uai.ord,0,9,25,10.17,111,23.63,81,358,1.69,2,0.0,0.01,10.7,-23.707992,,,
1bkr,1bkr.uai,1bkr.uai.evid,1bkr.uai.ord,0,18,31,18.0,97,18.92,81,389,1.75,2,0.0,0.03,12.39,-48.877473,,,
1blx,1blx.uai,1blx.uai.evid,1blx.uai.ord,0,27,91,27.14,397,19.71,81,1476,1.73,2,0.0,0.03,11.31,,,,
1bm8,1bm8.uai,1bm8.uai.evid,1bm8.uai.ord,0,12,26,12.15,85,25.04,81,333,1.74,2,0.0,0.03,13.44,-39.760551,,,
1bqk,1bqk.uai,1bqk.uai.evid,1bqk.uai.ord,0,11,21,11.97,94,20.95,81,323,1.71,2,0.0,0.02,11.05,-35.515667,,,
1bt0,1bt0.uai,1bt0.uai.evid,1bt0.uai.ord,0,14,25,14.65,64,23.86,81,235,1.73,2,0.0,0.02,11.62,-21.121404,,,
1btn,1btn.uai,1btn.uai.evid,1btn.uai.ord,0,11,26,13.39,92,23.16,81,347,1.73,2,0.0,0.01,12.88,-60.435604,,,
1bud,1bud.uai,1bud.uai.evid,1bud.uai.ord,0,20,39,22.3,173,16.64,81,646,1.73,2,0.0,0.03,10.91,-70.516173,,,
1buo,1buo.uai,1buo.uai.evid,1buo.uai.ord,0,14,33,13.02,108,18.06,81,369,1.71,2,0.0,0.03,12.13,-37.42108,,,
1buu,1buu.uai,1buu.uai.evid,1buu.uai.ord,0,10,36,10.02,126,21.11,81,415,1.7,2,0.0,0.02,11.26,-86.961374,,,
1bv1,1bv1.uai,1bv1.uai.evid,1bv1.uai.ord,0,12,31,11.22,134,19.53,81,446,1.7,2,0.0,0.02,12.61,-57.562157,,,
1bxe,1bxe.uai,1bxe.uai.evid,1bxe.uai.ord,0,11,27,13.36,88,28.91,81,301,1.71,2,0.01,0.03,11.46,-20.797195,,,
1bxv,1bxv.uai,1bxv.uai.evid,1bxv.uai.ord,0,9,23,8.41,74,16.3,81,249,1.7,2,0.0,0.02,12.04,-14.933611,,-9.720314,
1byq,1byq.uai,1byq.uai.evid,1byq.uai.ord,0,19,36,22.38,184,19.98,81,694,1.73,2,0.0,0.03,11.57,-82.319898,,,
1byr,1byr.uai,1byr.uai.evid,1byr.uai.ord,0,15,39,15.81,128,20.27,81,475,1.73,2,0.0,0.02,11.64,-76.347494,,,
1c1d,1c1d.uai,1c1d.uai.evid,1c1d.uai.ord,0,13,53,15.71,510,15.82,81,1743,1.71,2,0.0,0.02,11.25,,,,
