name,modelfile,evidencefile,orderfile,num_evid,width,depth,logSS,num_vars,avg_states,max_states,num_factors,avg_scope,max_scope,sparsity,sparsity_std,values_std,MPE,MPLP,PR,LBP
10_14_s.21,10_14_s.21.uai,10_14_s.21.uai.evid,10_14_s.21.uai.ord,0,15,48,19.76,231,21.0,21,861,1.73,2,0.0,0.0,0.95,-196.034071,,,
10_14_s.binary,10_14_s.binary.uai,10_14_s.binary.uai.evid,10_14_s.binary.uai.ord,0,15,52,5.04,231,2.0,2,861,1.73,2,0.0,0.0,0.69,-37.245973,,-33.73967,
10_16_s.21,10_16_s.21.uai,10_16_s.21.uai.evid,10_16_s.21.uai.ord,0,17,50,22.23,233,21.0,21,872,1.73,2,0.0,0.0,0.93,-192.951896,,,
10_16_s.binary,10_16_s.binary.uai,10_16_s.binary.uai.evid,10_16_s.binary.uai.ord,0,16,51,5.25,233,2.0,2,872,1.73,2,0.0,0.0,0.7,-44.452356,,-40.722986,
11_17_s.21,11_17_s.21.uai,11_17_s.21.uai.evid,11_17_s.21.uai.ord,0,19,50,24.87,228,21.0,21,852,1.73,2,0.0,0.0,0.88,-135.829797,,,
11_17_s.binary,11_17_s.binary.uai,11_17_s.binary.uai.evid,11_17_s.binary.uai.ord,0,19,58,5.77,228,2.0,2,852,1.73,2,0.0,0.0,0.59,-25.494906,,-23.267737,
11_3_s.21,11_3_s.21.uai,11_3_s.21.uai.evid,11_3_s.21.uai.ord,0,19,52,25.14,232,21.0,21,867,1.73,2,0.0,0.0,0.8,-113.878796,,,
11_3_s.binary,11_3_s.binary.uai,11_3_s.binary.uai.evid,11_3_s.binary.uai.ord,0,18,55,5.82,232,2.0,2,867,1.73,2,0.0,0.0,0.61,-27.070967,,-26.727606,
11_4_s.21,11_4_s.21.uai,11_4_s.21.uai.evid,11_4_s.21.uai.ord,0,21,56,27.49,230,21.0,21,853,1.73,2,0.0,0.0,0.96,-169.893931,,,
11_4_s.binary,11_4_s.binary.uai,11_4_s.binary.uai.evid,11_4_s.binary.uai.ord,0,18,54,5.6,230,2.0,2,853,1.73,2,0.0,0.0,0.64,-38.309628,,-33.961104,
12_15_s.21,12_15_s.21.uai,12_15_s.21.uai.evid,12_15_s.21.uai.ord,0,17,53,21.96,231,21.0,21,856,1.73,2,0.0,0.0,0.91,-123.853465,,,
12_15_s.binary,12_15_s.binary.uai,12_15_s.binary.uai.evid,12_15_s.binary.uai.ord,0,16,50,5.21,231,2.0,2,856,1.73,2,0.0,0.0,0.6,-22.214446,,-21.863504,
12_20_s.21,12_20_s.21.uai,12_20_s.21.uai.evid,12_20_s.21.uai.ord,0,19,57,24.56,230,21.0,21,851,1.73,2,0.0,0.0,0.97,-175.066694,,,
12_20_s.binary,12_20_s.binary.uai,12_20_s.binary.uai.evid,12_20_s.binary.uai.ord,0,16,62,5.2,230,2.0,2,851,1.73,2,0.0,0.0,0.74,-21.197607,,-20.985226,
12_4_s.21,12_4_s.21.uai,12_4_s.21.uai.evid,12_4_s.21.uai.ord,0,19,50,24.84,224,21.0,21,832,1.73,2,0.0,0.0,0.8,-116.517711,,,
