table,section,id,name,k,#v,w,refZ,WMB_error,WMB_#NB,DBE_avg_error,DBE_min_error,DBE_stdev,DBE_time,NeuroBE_h_max,NeuroBE_N_avg,NeuroBE_N_max,NeuroBE_avg_error,NeuroBE_min_error,NeuroBE_std,NeuroBE_time_h
pedigree,i-bound=20,1,pedigree13,3,888,33,-31.18,6.4696,127,5.32,2.62,3.06,11.4,96,218k,706k,1.11,0.76,0.25,7.5
pedigree,i-bound=20,2,pedigree41,5,885,32,-76.04,4.1497,92,4.27,3.25,0.734,9.9,93,190k,658k,0.47,0.153,0.21,6.2
pedigree,i-bound=20,3,pedigree51,5,871,35,-77.27,9.7624,120,23.92,9.23,12.74,13.1,102,259k,809k,3.51,1.96,0.89,10.4
pedigree,i-bound=20,4,pedigree34,5,922,33,-64.23,7.0762,106,5.91,1.57,5.98,11.1,96,211k,706k,0.65,0.23,0.29,6.96
pedigree,i-bound=20,5,pedigree7,4,867,34,-64.82,6.0012,108,11.26,5.18,7.8,10.5,99,350k,900k,1.75,1.21,0.7,10.7
pedigree,i-bound=20,6,pedigree19,5,693,28,-59.020,2.5809,43,6.054,5.41,0.92,9.35,71,149k,482k,2.61,1.91,0.6,5
grid-hard,i-bound=20,1,grid4040f10,2,1600,55,5490,215.45,308,97.1,11.81,65.15,11.8,55,60k,182k,24,16.51,8,5.4
grid-hard,i-bound=20,2,grid4040f5,2,1600,55,2800,84.92,308,39.9,6.28,34.96,11.7,55,60k,182k,21.2,18.87,6.4,5.3
grid-hard,i-bound=20,3,grid4040f2,2,1600,55,1220,25.24,308,7.34,1.2,5.4,11.5,55,60k,182k,5.1,3.46,1.8,5.2
grid-hard,i-bound=20,4,grid4040f15,2,1600,55,8200,338.2,308,83.46,41.78,34.2,13.4,55,60k,182k,22.4,5.38,13.3,5.4
grid-hard,i-bound=20,5,grid4040f10w,2,1600,114,5637,297.7,376,100.5,6.4,82.15,21.2,114,209k,900k,51.05,29.72,18.9,13.7
grid-hard,i-bound=20,6,grid4040f5w,2,1600,114,2819,136.99,376,78.2,72.62,5.6,21.3,114,209k,900k,16.6,12.28,3.92,13.9
grid-hard,i-bound=20,7,grid4040f2w,2,1600,114,1231,32,376,15.12,0.92,20.52,18.2,114,209k,900k,25.78,12.61,17.9,11.8
grid-hard,i-bound=20,8,grid4040f15w,2,1600,114,8230,657.03,376,220.91,95.23,192.2,17.7,114,209k,900k,103.9,79.59,27.8,13.7
grid-easy,i-bound=10,1,grid1010f10w,2,100,21,333.32,32,31,4.45,0.89,3.71,1.53,21,25k,48k,3.51,1.45,1.21,0.35
grid-easy,i-bound=10,2,grid1010f10,2,100,13,303.086,1.58,8,0.7,0.05,0.54,0.32,13,11.6k,15.5k,1.1,0.34,0.7,0.055
grid-easy,i-bound=10,3,grid2020f2,2,400,27,291.733,11.24,114,1.98,0.36,1.28,5.34,27,68k,480k,0.37,0.174,0.21,2.24
grid-easy,i-bound=10,4,grid2020f10,2,400,27,1311.98,80.86,114,10.04,1.05,9.3,5.5,27,68k,480k,1.37,0.08,1.05,2.22
grid-easy,i-bound=10,5,grid2020f5,2,400,27,665.12,39.44,114,5.75,0.94,3.1,5.5,27,121k,965k,0.67,0.018,0.56,0.91
grid-easy,i-bound=10,6,grid2020f15,2,400,27,1962.98,122.91,114,17.8,3.08,9.8,2.95,27,68k,480k,2.35,0.53,1.57,2.2
dbn,i-bound=20,1,rbm20,2,40,21,58.53,0.0007,20,0.23,0.034,0.21,1.05,60,147k,147k,0.23,0.002,0.21,0.45
dbn,i-bound=20,2,rbm21,2,42,22,63.15,6.39,22,0.48,0.27,0.19,1.25,63,163k,164k,0.78,0.133,0.8,0.46
dbn,i-bound=20,3,rbm22,2,40,21,66.55,8.65,24,0.47,0.14,0.35,1,66,180k,182k,0.32,0.035,0.26,0.57
dbn,i-bound=20,4,rbm-ferro20,2,44,23,151.16,0.005,20,1.33,0.29,1.21,1.03,60,147k,147k,1.58,0.38,1.15,0.44
dbn,i-bound=20,5,rbm-ferro21,2,42,22,152.62,1.98,22,3.43,0.83,1.89,1.17,63,163k,164k,2.79,0.125,2.57,0.48
dbn,i-bound=20,6,rbm-ferro22,2,44,23,166.11,0.517,24,6.52,3.86,1.5,1.3,66,180k,182k,4.69,1.09,3.2,0.59
dbn,i-bound=10,1,rbm20,2,40,21,58.53,7.85,30,0.49,0.11,0.35,1.57,100,82k,87k,1.35,0.46,0.96,0.42
dbn,i-bound=10,2,rbm21,2,42,22,63.15,15.73,32,0.73,0.14,0.47,1.71,105,90k,109k,0.43,0.14,0.35,0.5
dbn,i-bound=10,3,rbm22,2,40,21,66.55,27.46,34,0.65,0.19,0.41,1.83,110,99.5k,121k,0.46,0.19,0.49,0.54
