cell,problem_key,iB,arm,strategy,bound,est_min,est_rule,tag,n_seeds
pedigree13_iB20,pedigree/pedigree13,20,nomerge,nomerge,,84.0,exact,p1-00008400,3
pedigree13_iB20,pedigree/pedigree13,20,nonsub12,non_subsumption,12,84.3,exact,p1-00008430,3
pedigree13_iB20,pedigree/pedigree13,20,rnn10,reduce_nn,10,14.4,exact,p1-00001440,3
pedigree13_iB20,pedigree/pedigree13,20,rnn12,reduce_nn,12,53.8,exact,p1-00005380,3
pedigree13_iB20,pedigree/pedigree13,20,rnn14,reduce_nn,14,51.1,exact,p1-00005110,3
pedigree13_iB20,pedigree/pedigree13,20,rnn2,reduce_nn,2,40.9,exact,p1-00004090,3
pedigree13_iB20,pedigree/pedigree13,20,rnn4,reduce_nn,4,16.7,exact,p1-00001670,3
pedigree13_iB20,pedigree/pedigree13,20,rnn6,reduce_nn,6,39.5,exact,p1-00003950,3
pedigree13_iB20,pedigree/pedigree13,20,rnn8,reduce_nn,8,23.8,exact,p1-00002380,3
pedigree13_iB20,pedigree/pedigree13,20,sub10,subsumption,10,22.6,exact,p1-00002260,3
pedigree13_iB20,pedigree/pedigree13,20,sub12,subsumption,12,23.4,exact,p1-00002340,3
pedigree13_iB20,pedigree/pedigree13,20,sub14,subsumption,14,21.9,exact,p1-00002190,3
pedigree13_iB20,pedigree/pedigree13,20,sub2,subsumption,2,48.2,exact,p1-00004820,3
pedigree13_iB20,pedigree/pedigree13,20,sub4,subsumption,4,27.9,exact,p1-00002790,3
pedigree13_iB20,pedigree/pedigree13,20,sub6,subsumption,6,25.3,exact,p1-00002530,3
pedigree13_iB20,pedigree/pedigree13,20,sub8,subsumption,8,20.3,exact,p1-00002030,3
pedigree41_iB20,pedigree/pedigree41,20,nomerge,nomerge,,86.6,exact,p1-00008660,3
pedigree41_iB20,pedigree/pedigree41,20,nonsub12,non_subsumption,12,86.1,exact,p1-00008610,3
pedigree41_iB20,pedigree/pedigree41,20,rnn10,reduce_nn,10,18.5,exact,p1-00001850,3
pedigree41_iB20,pedigree/pedigree41,20,rnn12,reduce_nn,12,17.7,exact,p1-00001770,3
pedigree41_iB20,pedigree/pedigree41,20,rnn14,reduce_nn,14,13.6,exact,p1-00001360,3
pedigree41_iB20,pedigree/pedigree41,20,rnn2,reduce_nn,2,44.8,exact,p1-00004480,3
pedigree41_iB20,pedigree/pedigree41,20,rnn4,reduce_nn,4,39.6,exact,p1-00003960,3
pedigree41_iB20,pedigree/pedigree41,20,rnn6,reduce_nn,6,15.4,exact,p1-00001540,3
pedigree41_iB20,pedigree/pedigree41,20,rnn8,reduce_nn,8,30.1,exact,p1-00003010,3
pedigree41_iB20,pedigree/pedigree41,20,sub10,subsumption,10,36.6,exact,p1-00003660,3
pedigree41_iB20,pedigree/pedigree41,20,sub12,subsumption,12,37.8,exact,p1-00003780,3
pedigree41_iB20,pedigree/pedigree41,20,sub14,subsumption,14,33.4,exact,p1-00003340,3
pedigree41_iB20,pedigree/pedigree41,20,sub2,subsumption,2,58.7,exact,p1-00005870,3
