model,ecl,iB
smokers_20.uai,262143,18.00
BN_1.uai,524287,19.00
BN_2.uai,2097151,21.00
BN_3.uai,16383,14.00
BN_5.uai,16383,14.00
BN_7.uai,131071,17.00
BN_8.uai,8388607,23.00
BN_9.uai,4194303,22.00
BN_10.uai,32767,15.00
BN_11.uai,131071,17.00
or_chain_10.fg.uai,262143,18.00
10_14_s.binary.uai,32767,15.00
10_16_s.binary.uai,65535,16.00
11_17_s.binary.uai,262143,18.00
11_4_s.binary.uai,131071,17.00
deer_rescaled_0034.K15.F1.5.model.uai,1048575,20.00
deer_rescaled_0294.K10.F1.75.model.uai,1771560,20.76
grid10x10.f5.wrap.uai,1048575,20.00
deer_rescaled_0034.K10.F2.model.uai,19487170,24.22
deer_rescaled_0034.K15.F1.75.model.uai,16777215,24.00
deer_rescaled_0034.K20.F1.25.model.uai,4084100,21.96
deer_rescaled_0034.K20.F1.5.model.uai,4084100,21.96
29.wcsp.uai,2097151,21.00
404.wcsp.uai,4194303,22.00
